"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:SAP","SAP SE","SAP","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0007164600","","140,818,181,609","EUR","Analyze"
"GY:SIE","Siemens Aktiengesellschaft","SIE","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007236101","","120,727,738,900","EUR","Analyze"
"GY:VOW","Volkswagen AG","VOW","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007664005","","117,746,610,265","EUR","Analyze"
"GY:VOW3","Volkswagen AG","VOW3","01/03/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE0007664039","5497168","117,746,610,265","EUR","Analyze"
"GY:MRK","MERCK Kommanditgesellschaft auf Aktien","MRK","10/23/1995","Global Equity","Comon stocks","Developed markets ex-US","Health Care","DE0006599905","","97,607,633,611","EUR","Analyze"
"GY:ALV","Allianz SE","ALV","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0008404005","","82,814,833,750","EUR","Analyze"
"GY:DAI","Daimler AG","DAI","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007100000","","79,432,650,000","EUR","Analyze"
"GY:DTE","Deutsche Telekom AG","DTE","11/18/1996","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005557508","","79,045,341,663","EUR","Analyze"
"GY:SHL","Siemens Healthineers Ag","SHL","03/16/2018","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000SHL1006","BD594Y4","76,282,246,507","EUR","Analyze"
"GY:DPW","Deutsche Post AG","DPW","11/20/2000","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005552004","","66,066,647,687","EUR","Analyze"
"GY:BMW","Bayerische Motoren Werke Aktiengesellschaft","BMW","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005190003","","58,235,244,373","EUR","Analyze"
